timestamp,open,high,low,close,volume,symbol,timeframe,ema_9,ema_20,ema_50,ema_100,ema_200,sma_20,sma_50,rsi_14,rsi_7,macd,macd_signal,macd_histogram,atr_14,atr_7,adx_14,bb_upper,bb_mid,bb_lower,bb_width,bb_pct,vwap,vwap_session,price_vs_ema9,price_vs_ema20,price_vs_ema50,price_vs_ema200,price_vs_vwap,ema9_above_ema20,ema20_above_ema50,ema50_above_ema200,rsi_overbought,rsi_oversold,macd_bullish,swing_high,swing_low,higher_high,higher_low,lower_high,lower_low,uptrend,downtrend,break_of_structure,near_resistance,near_support,consolidation,volume_sma_20,volume_sma_50,relative_volume,volume_change,volume_spike,volume_dry,obv,volume_price_divergence,buy_sell_volume_ratio,funding_rate,funding_rate_sma_8,funding_extreme_high,funding_extreme_low,funding_trend,open_interest,oi_change,oi_change_sma,oi_acceleration,price_oi_corr,long_liquidations,short_liquidations,liq_spike,returns,log_returns,realized_vol_10,realized_vol_20,realized_vol_50,vol_ratio_short_long,high_low_range,range_sma_20,range_expanding,range_contracting,upper_shadow,lower_shadow,return_1,return_3,return_5,return_10,return_20,max_drawdown_20,garman_klass_vol
2025-08-26 07:00:00,109949.3,110508.5,109711.0,110244.2,5289.209,BTC/USDT,1h,110244.2,110244.2,110244.2,110244.2,110244.2,,,,,0.0,0.0,0.0,,,,,,,,,110154.56666666665,110154.56666666665,0.0,0.0,0.0,0.0,0.0008137051058861772,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0.0,1,,,,0,0,,,,,,,0.0,0.0,0.0,,,,,,,0.007233940651753108,,0,0,0.002397405033552812,0.0021615649621476948,,,,,,,0.0048433031716173134
2025-08-26 08:00:00,110244.2,110405.6,109943.1,110047.5,3101.505,BTC/USDT,1h,110204.86,110225.46666666667,110236.48627450979,110240.30495049505,110242.24278606965,,,,,-15.691168091172585,-3.1382336182345174,-12.552934472938068,,,,,,,,,110146.24986996736,110146.24986996736,-0.0014278862111888767,-0.001614569409852119,-0.0017143713564960774,-0.0017664987680589526,-0.0008965341088229367,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,-1,0,0,0,,,,-0.41361647838079374,0,0,-3101.505,1,,3.9e-05,,0,0,,,,,,,0.0,0.0,0.0,-0.0017842208478994204,-0.0017858144657760652,,,,,0.0042027306390422315,,0,0,0.0014666394057112496,0.0009486812512778044,-0.0017842208478994204,,,,,,0.0027530400344880344
2025-08-26 09:00:00,110047.6,110365.6,109976.9,110108.6,1997.398,BTC/USDT,1h,110185.60800000001,110214.3365079365,110231.4711264898,110237.69693167336,110240.91300710378,,,,,-22.93192750059825,-7.096972394707263,-15.834955105890986,,,,,,,,,110147.04143647084,110147.04143647084,-0.0006988934525823157,-0.0009593716324634696,-0.001114664670934196,-0.0012002169021881007,-0.00034900108046031554,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,,,-0.3559907206340148,0,0,-1104.1070000000002,1,,3.9e-05,,0,0,,,,,,,0.0,0.0,0.0,0.000555214793611869,0.0005550607189054126,,,,,0.0035301511416911267,,0,0,0.002334059283289407,0.000642093351473106,0.000555214793611869,,,,,,0.002470887866461755
2025-08-26 10:00:00,110108.6,110366.8,110015.0,110169.0,2638.821,BTC/USDT,1h,110182.28640000001,110210.01874527588,110229.02127839217,110236.33659639269,110240.1974547943,,,,,-23.525321026492747,-10.382642121064361,-13.142678905428387,,,,,,,,,110154.44697890899,110154.44697890898,-0.00012058562618475287,-0.00037218708192663253,-0.000544514300282008,-0.000645839325745866,0.00013211469432363295,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,,,0.32112928920525596,0,0,1534.7139999999997,1,,3.9e-05,,0,0,,,,,,,0.0,0.0,0.0,0.0005485493412866749,0.0005483989430948011,,,,,0.0031932757853842995,,0,0,0.0017954233949659423,0.0008496037905400414,0.0005485493412866749,-0.0006821220526793681,,,,,0.0022316614120381586
2025-08-26 11:00:00,110169.0,110180.6,109529.5,109842.2,5695.383,BTC/USDT,1h,110114.26912000001,110174.98838858295,110213.85181649445,110228.5319113156,110236.23728111475,,,,,-49.79165132709022,-18.26444396226953,-31.52720736482069,,,,,,,,,110062.0665443634,110062.0665443634,-0.002470788955639527,-0.0030205438952189286,-0.0033720971581072752,-0.0035744805050803245,-0.001997659604862917,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,,,1.1583059252598034,0,0,-4160.669,1,,3.9e-05,,0,0,0.0,,,,,,0.0,0.0,0.0,-0.0029663516960306557,-0.0029707600371748333,,,,,0.005927594312568446,,0,0,0.00010560604212229745,0.0028468111527263393,-0.0029663516960306557,-0.0018655580544765238,,,,,0.00376230941465792
2025-08-26 12:00:00,109842.2,110817.5,109572.7,110172.5,12234.177,BTC/USDT,1h,110125.91529600002,110174.75139919411,110212.23017663193,110227.42236851726,110235.60307931261,,,,,-43.45454086373502,-23.302463342562632,-20.152077521172387,,,,,,,,,110111.66488580924,110111.66488580924,0.0004230130925565256,-2.0434801672038443e-05,-0.0003604879110807856,-0.0005724382826409575,0.0005524856449482547,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,,,1.148086792407113,0,0,8073.508,1,,3.9e-05,,0,0,0.0,,,,,,0.0,0.0,0.0,0.003007041009739364,0.0030025289050484407,,,,,0.011298645306224356,,0,0,0.005854455512945608,0.0024461639701377387,0.003007041009739364,0.0005803361408645014,-0.0006503743507594306,,,,0.007766746916403054
2025-08-26 13:00:00,110172.4,110235.6,109350.0,110051.2,12191.511,BTC/USDT,1h,110110.97223680002,110162.98459927086,110205.9152677444,110223.93281666543,110233.76822280204,,,,43.90768059260205,-47.670713111932855,-28.17611329643668,-19.494599815496176,,734.2210067199328,,,,,,,110045.90635658371,110045.90635658371,-0.0005428363367047684,-0.0010147201410481816,-0.0014038744414810271,-0.0016561914352146814,4.810395580850412e-05,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,,,-0.0034874434136434873,0,0,-4118.003000000001,0,,3.9e-05,,0,0,0.0,,,,,,0.0,0.0,0.0,-0.001101000703442323,-0.0011016072499631156,,,,,0.008047163502079086,,0,0,0.0005742781541683475,0.006371579773777997,-0.001101000703442323,-0.0010692663090343668,3.3621845112241644e-05,,,,0.005662450723932901
2025-08-26 14:00:00,110051.2,110515.1,109750.0,110323.9,7928.985,BTC/USDT,1h,110153.55778944002,110178.30987553077,110210.54211998972,110225.91236485027,110234.66505640601,,,,59.775035110491444,-28.67687982362986,-28.276266601875317,-0.4006132217545435,,740.4459827645553,,,,,,,110069.2580314885,110069.2580314885,0.001546406797732182,0.001321404590737465,0.0010285575030277343,0.0008094998388059013,0.0023134703827897922,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,,,-0.3496306569382581,0,0,3810.981999999999,0,,3.9e-05,,0,0,0.0,,,,,,0.0,0.0,0.0,0.0024779375417987026,0.0024748725168176554,,,,,0.0069350340225463915,,0,0,0.0017330786892052552,0.0027301427886432324,0.0024779375417987026,0.004385381938817767,0.001955342271175775,,,,0.004665311000083804
2025-08-26 15:00:00,110323.9,110525.4,109499.9,109624.6,8559.83,BTC/USDT,1h,110047.76623155201,110125.57560167069,110187.56399763719,110214.00518930868,110228.5947573373,,,,32.37551377879535,-69.25348474222119,-36.47171022994449,-32.7817745122767,,794.7227866438146,,,,,,,110042.5669845251,110042.5669845251,-0.0038452959659501123,-0.004549130380782149,-0.005109142785380531,-0.005479474347531654,-0.003798230048412696,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,,,0.07956188591604096,0,0,-4748.848000000001,1,,3.9e-05,3.9e-05,0,0,0.0,,,,,,0.0,0.0,0.0,-0.00633860840670053,-0.006358782681369319,,,,,0.009354652149243874,,0,0,0.0018380910853950663,0.0011375184037160605,-0.00633860840670053,-0.004973110349678844,-0.004941498969764591,,,,0.005275204863168737
2025-08-26 16:00:00,109624.6,110129.7,109400.0,110129.6,4836.847,BTC/USDT,1h,110064.13298524161,110125.95887770204,110185.29089969063,110212.33379942138,110227.60973487623,,,,51.21547035664375,-59.9701582853595,-41.171399841027494,-18.79875844433201,,782.9038823854762,,,,,,,110030.85375912287,110030.85375912288,0.0005948078904794076,3.3063251708069025e-05,-0.0005054295290768621,-0.0008891577628505046,0.0008974413767006846,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,,,-0.4349365583194994,0,0,87.99899999999889,1,,0.0001,4.6625e-05,0,0,6.1000000000000005e-05,,,,,,0.0,0.0,0.0,0.004606630263645162,0.00459605221611438,,,,,0.006625829931280937,,0,0,9.080210950668017e-07,0.0020394153796981537,0.004606630263645162,0.0007123956849175439,0.0026164807332702544,,,,0.0037332475541235763
